time,station,part,family,type,activity
279858923,Freezer,PZ_1010_5959,PZ,PZ_1010,EXIT
279866171,Freezer,PZ_1010_6001,PZ,PZ_1010,ENTER
279869438,Oven,PZ_1010_6011,PZ,PZ_1010,ENTER
279870918,Oven,PZ_1010_6005,PZ,PZ_1010,EXIT
279889411,PackStation,PZ_1010_5954,PZ,PZ_1010,ENTER
279889714,PizzaSource,PZ_1010_6019,PZ,PZ_1010,EXIT
279889714,PizzaSource,PZ_1010_6020,PZ,PZ_1010,ENTER
279898641,Freezer,PZ_1010_5960,PZ,PZ_1010,EXIT
279906022,Freezer,PZ_1010_6002,PZ,PZ_1010,ENTER
279909261,Oven,PZ_1010_6012,PZ,PZ_1010,ENTER
279910976,Oven,PZ_1010_6006,PZ,PZ_1010,EXIT
279929527,PizzaSource,PZ_1010_6020,PZ,PZ_1010,EXIT
279929527,PizzaSource,PZ_1010_6021,PZ,PZ_1010,ENTER
279929532,PackStation,PZ_1010_5955,PZ,PZ_1010,ENTER
279938648,Freezer,PZ_1010_5961,PZ,PZ_1010,EXIT
279945959,Freezer,PZ_1010_6003,PZ,PZ_1010,ENTER
279949105,Oven,PZ_1010_6013,PZ,PZ_1010,ENTER
279950958,Oven,PZ_1010_6007,PZ,PZ_1010,EXIT
279962724,PackStation,PACK_1010_001849,PACK,PACK_1010,EXIT_AP
279969453,PackStation,PZ_1010_5956,PZ,PZ_1010,ENTER
279969612,PizzaSource,PZ_1010_6021,PZ,PZ_1010,EXIT
279969612,PizzaSource,PZ_1010_6022,PZ,PZ_1010,ENTER
279978616,Freezer,PZ_1010_5962,PZ,PZ_1010,EXIT
279985988,Freezer,PZ_1010_6004,PZ,PZ_1010,ENTER
