time,unit,station,part,family,type,activity
1713190,ms,PackStation,PACK_1030_000184,PACK,PACK_1030,EXIT_AP
1713910,ms,PackStation,PZ_1030_779,PZ,PZ_1030,ENTER
1714020,ms,PackStation,PZ_1030_780,PZ,PZ_1030,ENTER
1714190,ms,PackStation,PZ_1030_782,PZ,PZ_1030,ENTER
1714200,ms,Oven,PZ_1030_799,PZ,PZ_1030,ENTER
1714630,ms,Oven,PZ_1030_797,PZ,PZ_1030,EXIT
1714730,ms,Freezer,PZ_1030_796,PZ,PZ_1030,ENTER
1714950,ms,Freezer,PZ_1030_786,PZ,PZ_1030,EXIT
1715110,ms,PizzaSource,PZ_1030_802,PZ,PZ_1030,EXIT
1715110,ms,PizzaSource,PZ_1030_803,PZ,PZ_1030,ENTER
1715590,ms,PackStation,PZ_1030_784,PZ,PZ_1030,ENTER
1716160,ms,Oven,PZ_1030_801,PZ,PZ_1030,ENTER
1716620,ms,Oven,PZ_1030_799,PZ,PZ_1030,EXIT
1716710,ms,Freezer,PZ_1030_797,PZ,PZ_1030,ENTER
1717000,ms,Freezer,PZ_1030_787,PZ,PZ_1030,EXIT
1717110,ms,PizzaSource,PZ_1030_803,PZ,PZ_1030,EXIT
1717110,ms,PizzaSource,PZ_1030_804,PZ,PZ_1030,ENTER
1717510,ms,BoxStation,PACK_1030_000184,PACK,PACK_1030,ENTER
1718100,ms,Oven,PZ_1030_802,PZ,PZ_1030,ENTER
1718580,ms,Oven,PZ_1030_801,PZ,PZ_1030,EXIT
1718700,ms,Freezer,PZ_1030_799,PZ,PZ_1030,ENTER
1718990,ms,Freezer,PZ_1030_788,PZ,PZ_1030,EXIT
1719110,ms,PizzaSource,PZ_1030_804,PZ,PZ_1030,EXIT
1719110,ms,PizzaSource,PZ_1030_806,PZ,PZ_1030,ENTER
1720100,ms,Oven,PZ_1030_803,PZ,PZ_1030,ENTER
1720520,ms,Oven,PZ_1030_802,PZ,PZ_1030,EXIT
1720660,ms,Freezer,PZ_1030_801,PZ,PZ_1030,ENTER
1721020,ms,Freezer,PZ_1030_790,PZ,PZ_1030,EXIT
1721090,ms,PizzaSource,PZ_1030_806,PZ,PZ_1030,EXIT
1721090,ms,PizzaSource,PZ_1030_807,PZ,PZ_1030,ENTER
1721310,ms,PackStation,PACK_1030_000185,PACK,PACK_1030,EXIT_AP
1722020,ms,PackStation,PZ_1030_786,PZ,PZ_1030,ENTER
1722100,ms,Oven,PZ_1030_804,PZ,PZ_1030,ENTER
1722130,ms,PackStation,PZ_1030_787,PZ,PZ_1030,ENTER
1722310,ms,PackStation,PZ_1030_788,PZ,PZ_1030,ENTER
1722520,ms,Oven,PZ_1030_803,PZ,PZ_1030,EXIT
1722600,ms,Freezer,PZ_1030_802,PZ,PZ_1030,ENTER
1723030,ms,Freezer,PZ_1030_791,PZ,PZ_1030,EXIT
1723090,ms,PizzaSource,PZ_1030_807,PZ,PZ_1030,EXIT
1723090,ms,PizzaSource,PZ_1030_808,PZ,PZ_1030,ENTER
1723680,ms,PackStation,PZ_1030_790,PZ,PZ_1030,ENTER
1724090,ms,Oven,PZ_1030_806,PZ,PZ_1030,ENTER
1724520,ms,Oven,PZ_1030_804,PZ,PZ_1030,EXIT
1724600,ms,Freezer,PZ_1030_803,PZ,PZ_1030,ENTER
1725050,ms,PizzaSource,PZ_1030_808,PZ,PZ_1030,EXIT
1725050,ms,PizzaSource,PZ_1030_809,PZ,PZ_1030,ENTER
1725050,ms,Freezer,PZ_1030_792,PZ,PZ_1030,EXIT
1725630,ms,BoxStation,PACK_1030_000185,PACK,PACK_1030,ENTER
1726090,ms,Oven,PZ_1030_807,PZ,PZ_1030,ENTER
1726510,ms,Oven,PZ_1030_806,PZ,PZ_1030,EXIT
1726600,ms,Freezer,PZ_1030_804,PZ,PZ_1030,ENTER
1727030,ms,PizzaSource,PZ_1030_809,PZ,PZ_1030,EXIT
1727030,ms,PizzaSource,PZ_1030_811,PZ,PZ_1030,ENTER
1727030,ms,Freezer,PZ_1030_793,PZ,PZ_1030,EXIT
1728050,ms,Oven,PZ_1030_808,PZ,PZ_1030,ENTER
1728500,ms,Oven,PZ_1030_807,PZ,PZ_1030,EXIT
1728590,ms,Freezer,PZ_1030_806,PZ,PZ_1030,ENTER
1729010,ms,Freezer,PZ_1030_795,PZ,PZ_1030,EXIT
1729030,ms,PizzaSource,PZ_1030_811,PZ,PZ_1030,EXIT
1729030,ms,PizzaSource,PZ_1030_812,PZ,PZ_1030,ENTER
1729220,ms,PackStation,PACK_1030_000186,PACK,PACK_1030,EXIT_AP
1729930,ms,PackStation,PZ_1030_791,PZ,PZ_1030,ENTER
1730030,ms,Oven,PZ_1030_809,PZ,PZ_1030,ENTER
1730050,ms,PackStation,PZ_1030_792,PZ,PZ_1030,ENTER
1730220,ms,PackStation,PZ_1030_793,PZ,PZ_1030,ENTER
1730470,ms,Oven,PZ_1030_808,PZ,PZ_1030,EXIT
1730590,ms,Freezer,PZ_1030_807,PZ,PZ_1030,ENTER
1731010,ms,Freezer,PZ_1030_796,PZ,PZ_1030,EXIT
